sw.dat auto written
1 2
1991  2025
0  8
1
1e-04  	0.03085  	0.05277  	0.07873  	0.10412  	0.12447  	0.14492  	0.15943  	0.16398
1e-04  	0.02029  	0.04513  	0.08176  	0.10751  	0.13127  	0.15934  	0.17102  	0.18693
1e-04  	0.01563  	0.0402  	0.09671  	0.10793  	0.14087  	0.16715  	0.18273  	0.18906
1e-04  	0.01855  	0.05288  	0.08357  	0.10767  	0.13921  	0.15656  	0.17676  	0.20275
1e-04  	0.01305  	0.0459  	0.07081  	0.13269  	0.16745  	0.18923  	0.2097  	0.23377
1e-04  	0.01815  	0.05456  	0.09051  	0.11703  	0.11974  	0.15383  	0.14667  	0.12803
1e-04  	0.0131  	0.05147  	0.10633  	0.13334  	0.16618  	0.19429  	0.20895  	0.22635
1e-04  	0.02209  	0.05578  	0.08293  	0.1128  	0.13378  	0.16779  	0.16832  	0.18432
1e-04  	0.02106  	0.05668  	0.08705  	0.10813  	0.14801  	0.16015  	0.14394  	0.15043
1e-04  	0.01398  	0.04313  	0.0837  	0.12504  	0.14365  	0.16287  	0.16503  	0.18311
1e-04  	0.01686  	0.05088  	0.07829  	0.11594  	0.16904  	0.17627  	0.16808  	0.18052
1e-04  	0.01645  	0.06368  	0.09046  	0.12388  	0.17365  	0.1983  	0.19801  	0.20363
1e-04  	0.01444  	0.04447  	0.07926  	0.10509  	0.12681  	0.15061  	0.17287  	0.18471
1e-04  	0.01306  	0.04561  	0.08106  	0.10925  	0.14399  	0.16285  	0.19321  	0.20759
1e-04  	0.0126  	0.05136  	0.08  	0.10657  	0.13221  	0.15733  	0.16766  	0.18205
1e-04  	0.01846  	0.0621  	0.09527  	0.1174  	0.16593  	0.17102  	0.18584  	0.18708
1e-04  	0.015  	0.055  	0.08  	0.114  	0.143  	0.171  	0.175  	0.188
1e-04  	0.018  	0.068  	0.086  	0.11  	0.139  	0.143  	0.141  	0.158
1e-04  	0.023  	0.052  	0.09  	0.13  	0.156  	0.174  	0.185  	0.199
1e-04  	0.01404  	0.06265  	0.09735  	0.12833  	0.16176  	0.18131  	0.20229  	0.20447
1e-04  	0.009  	0.058  	0.095  	0.126  	0.156  	0.173  	0.185  	0.192
1e-04  	0.012  	0.05  	0.092  	0.114  	0.158  	0.178  	0.191  	0.201
1e-04  	0.014  	0.056  	0.095  	0.129  	0.143  	0.161  	0.179  	0.199
1e-04  	0.016  	0.052  	0.081  	0.13  	0.165  	0.174  	0.19  	0.205
1e-04  	0.015  	0.049  	0.088  	0.116  	0.157  	0.18  	0.169  	0.194
1e-04  	0.01375  	0.04147  	0.08109  	0.10571  	0.13662  	0.17349  	0.18239  	0.19032
1e-04  	0.01769  	0.04786074  	0.08145903  	0.1180528  	0.132366  	0.15583  	0.1730816  	0.1750526
1e-04  	0.01252654  	0.04906449  	0.08284337  	0.1090739  	0.1431781  	0.1544149  	0.1695594  	0.1853497
1e-04  	0.02561211  	0.05677445  	0.07711056  	0.1189558  	0.1480975  	0.1704604  	0.1778391  	0.190961
1e-04  	0.02375538  	0.04838279  	0.07811859  	0.1039259  	0.1465243  	0.1644331  	0.1685922  	0.1808876
1e-04  	0.01917801  	0.05444602  	0.07450637  	0.1170377  	0.1293027  	0.1772858  	0.1814149  	0.1780614
1e-04  	0.01783872  	0.07494121  	0.08649966  	0.1127318  	0.1303836  	0.1650353  	0.1809722  	0.1871701
1e-04  	0.0241502  	0.05570299  	0.08434781  	0.1137595  	0.1557402  	0.1725051  	0.1816282  	0.1892308
1e-04  	0.02227811  	0.07122673  	0.09427081  	0.09296161  	0.1478733  	0.164302  	0.1665827  	0.1740933
1e-04  	0.021338466	0.046333376	0.094913956	0.149763289	0.174149969	0.157477803	0.173971631	0.175024709

