cn.dat auto written
1 2
1991  2025
0  8
1
118958  	825969  	541246  	564430  	279767  	177486  	46487  	13241  	4933
145090  	456707  	602624  	364864  	333993  	183200  	139835  	52660  	22574
206102  	530707  	495950  	415108  	260950  	210497  	102768  	63922  	24535
263202  	249398  	364980  	382650  	267033  	168142  	118416  	49504  	33088
541302  	1660683  	438136  	226810  	194870  	84123  	60096  	32878  	20459
171144  	638877  	400585  	199681  	144155  	130086  	65274  	30705  	25111
376795  	668616  	289336  	276919  	75283  	43119  	39916  	21211  	24134
549774  	623072  	430903  	182860  	146685  	45322  	23759  	15400  	14112
569599  	616124  	334339  	246212  	90259  	55919  	15481  	9478  	6084
176277  	1155004  	595812  	226899  	155327  	77056  	38291  	14297  	11296
740666  	535470  	504246  	296941  	148711  	79394  	46153  	20458  	6945
143774  	702110  	276386  	351034  	209173  	64354  	37116  	13495  	8010
64069  	95046  	246821  	148077  	199086  	110346  	30031  	16312  	8862
29690  	285401  	178955  	179741  	103186  	101403  	53540  	15990  	11318
93362  	173493  	313018  	199361  	151832  	66697  	71723  	32906  	13978
15912  	132704  	191759  	228484  	150235  	93969  	40849  	30459  	16353
2264  	143379  	190859  	150436  	139795  	71979  	33796  	19318  	16546
12388  	167712  	130329  	145837  	89155  	90602  	48281  	16629  	16720
17027  	240298  	231324  	94424  	64593  	46103  	40291  	21666  	14020
15396  	78452  	121686  	75260  	43675  	29590  	17867  	10496  	10084
8850  	101229  	44907  	40156  	46816  	27210  	22132  	11207  	9408
1956  	72987  	133706  	63979  	48065  	36048  	17435  	10079  	16349
997  	73303  	93782  	109128  	65931  	34363  	26641  	11783  	12015
32408  	64719  	57970  	65774  	75056  	27207  	15211  	9787  	8568
18001  	110005  	126470  	55530  	59683  	42553  	19924  	10170  	13916
52847  	60103  	187929  	137564  	59311  	41544  	31096  	13848  	14866
5043  	66866  	90541  	74330  	102395  	45847  	35589  	19371  	12574
756  	88747  	199576  	49042  	35756  	68729  	21769  	11958  	7490
11781  	44710  	85017  	34480  	21349  	19402  	25919  	7355  	5590
1139  	53794  	56263  	28057  	22099  	15965  	17380  	13665  	7147
2968  	8484  	63035  	19860  	17805  	10119  	6568  	3632  	5040
4210  	520  	7349  	7717  	8236  	6103  	5181  	2988  	3574
119  	2881  	3064  	4630  	4642  	3101  	2119  	1590  	1334
745  	1637  	13384  	3428  	5040  	5086  	4252  	1503  	2180
1169	2893	1855	3455	1515	1662	1932	1399	1990
